experiment,seed,episode_id,total_cost,p2p_volume,p2p_utilisation,voltage_violation_rate,thermal_violation_rate,battery_soc_mean,battery_soc_min,battery_soc_max,battery_throughput,battery_cycles,buyer_welfare,seller_welfare,campus_welfare,grid_import,grid_export,mean_reward,episode_return
random,1024,0,-47893.383195192735,2130.322586638673,0.46872933789798793,0.16568047337278108,0.0,0.9446409531598966,0.5,0.949999988079071,224.99999403953552,0.22499999403953552,6050.116146053831,6050.116146053831,12100.232292107661,16992.955336744842,52355.6093229391,0.043918145966712265,155.86550003586183
random,1024,1,-51133.58599567936,2222.5452539465887,0.4900568943562044,0.16568047337278108,0.0,0.9429453854730143,0.5,0.949999988079071,224.99999403953552,0.22499999403953552,6312.028521208312,6312.028521208312,12624.057042416624,16626.825596284427,52427.58837230265,0.046237825286693436,164.098041942475
random,1024,2,-51877.73058624605,2242.1864830534187,0.49818714612639686,0.16568047337278108,0.0,0.9467665598942683,0.5,0.949999988079071,224.99999403953552,0.22499999403953552,6367.8096118717085,6367.8096118717085,12735.619223743417,16532.29100546665,52420.19726988743,0.04660518714766388,165.40180918705911
random,1024,3,-50251.90842763551,2256.5988836319716,0.49809821888845834,0.16568047337278108,0.0,0.9473372662561179,0.5,0.949999988079071,224.99999403953552,0.22499999403953552,6408.740829514799,6408.740829514799,12817.481659029598,16684.187044330873,52311.245179475314,0.04607311994582878,163.51350268774632
random,1024,4,261532.48286326838,4389.5025181567835,0.5274417474621872,0.07100591715976332,0.0,0.8481935463713471,0.2542673349380493,0.949999988079071,5380.578517913818,5.380578517913818,12466.187151565264,12466.187151565267,24932.37430313053,49557.25279424271,39988.51893533982,-0.11325650886413954,-401.94734995883124
random,1024,5,447543.61696138943,6067.788032581117,0.5624260493922276,0.029585798816568046,0.0,0.7528114967356773,0.10000000149011612,0.949999988079071,8785.00883281231,8.78500883281231,17232.51801253037,17232.51801253037,34465.03602506074,69131.35779732672,32549.704799669467,-0.20744079668801002,-736.2073874457476
random,1024,6,446882.49875400594,5647.21051919646,0.5239327321009905,0.029585798816568046,0.0,0.6497733450147527,0.10000000149011612,0.949999988079071,11541.868522763252,11.541868522763252,16038.077874517947,16038.077874517943,32076.15574903589,69625.39137352808,33866.415994451665,-0.20880668613168932,-741.0549290813653
random,1024,7,440656.8305329809,5725.38958790537,0.5309671700974653,0.029585798816568046,0.0,0.758771135477272,0.10228949040174484,0.949999988079071,9919.01620477438,9.91901620477438,16260.106429651249,16260.106429651247,32520.212859302497,68843.05108276308,33824.16735717365,-0.20467065956579703,-726.3761707990136
random,1024,8,428407.37412155163,5556.51001507543,0.5333935749927341,0.03550295857988166,0.0,0.7024822118278791,0.10000000149011612,0.949999988079071,9978.792786598206,9.978792786598206,15780.48844281422,15780.48844281422,31560.97688562844,66688.48934794088,32332.532040496226,-0.19864198507787537,-704.9804050413796
random,1024,9,421468.6279356618,4757.447289307511,0.4928817909474347,0.011834319526627219,0.0,0.789045323193426,0.19549475610256195,0.949999988079071,9094.326928257942,9.094326928257942,13511.15030163333,13511.150301633328,27022.30060326666,64409.00953819675,29063.146011416182,-0.19481660674808318,-691.4041373489472
random,1024,10,418172.5538392453,4837.942755742079,0.5051673564413822,0.011834319526627219,0.0,0.8018094148244378,0.10000000149011612,0.949999988079071,9360.026858747005,9.360026858747005,13739.757426307502,13739.757426307502,27479.514852615004,63790.64847066717,28573.37954963264,-0.19349357111873589,-686.7086839003937
random,1024,11,423553.0247219054,5002.9445135173855,0.5133948227078773,0.005917159763313609,0.0,0.7510050281705941,0.10000000149011612,0.949999988079071,10585.29518544674,10.58529518544674,14208.362418389373,14208.362418389377,28416.72483677875,64656.838288504936,29045.002058822985,-0.1964480446022829,-697.194110293502
random,1024,12,415777.51318829914,5217.751246949061,0.5405977839851875,0.01775147928994083,0.0,0.7889956619436219,0.10000000149011612,0.949999988079071,8821.31665199995,8.82131665199995,14818.413541335332,14818.413541335336,29636.82708267067,63564.734877801704,28728.95395106315,-0.19055164003738018,-676.2677704926623
random,1024,13,421818.34101691574,4084.259553770783,0.5711992348550419,0.0,0.0,0.8208478069340689,0.22945739328861237,0.949999988079071,7361.7813140153885,7.3617813140153885,11599.297132709024,11599.297132709024,23198.594265418047,57807.35202624256,13851.566853078977,-0.1891142359391761,-671.1664233481359
random,1024,14,419722.9230909891,3653.401446336824,0.5382873348173851,0.0,0.0,0.7744485358514729,0.1799522042274475,0.949999988079071,8885.109603404999,8.885109603404999,10375.66010759658,10375.66010759658,20751.32021519316,56742.10064357081,12001.459874750857,-0.18069418148458477,-641.2836500887913
random,1024,15,419680.54719485657,3844.322532182811,0.5708543038929608,0.0,0.0,0.8113233270729787,0.30990439653396606,0.949999988079071,8548.468977212906,8.548468977212906,10917.875991399182,10917.875991399182,21835.751982798363,56663.47058579628,11833.353393085166,-0.1859953865646557,-660.0976269179631
random,1024,16,416082.8627807837,3423.401797440876,0.5134091716706526,0.0,0.0,0.854133231929068,0.4299563765525818,0.949999988079071,7354.649901390076,7.354649901390076,9722.461104732089,9722.461104732087,19444.922209464174,56450.505045847356,12356.39138844729,-0.17907821683522313,-635.5485915482069
random,1024,17,270105.2197791126,2731.35078497902,0.5278410787776219,0.0,0.0,0.8381129050043208,0.2503821551799774,0.949999988079071,5735.180884599686,5.735180884599686,7757.036229340416,7757.036229340416,15514.072458680832,38697.87869398408,12719.80100473529,-0.11015634212989883,-390.94485821901094
random,1024,18,189843.94771295006,2262.5947983435026,0.5439837293648292,0.0,0.0,0.8865639172362153,0.5,0.949999988079071,4530.64826130867,4.53064826130867,6425.769227295547,6425.769227295548,12851.538454591097,28464.33681055408,11837.190250861157,-0.07159216576165475,-254.0805962881127
random,1024,19,190662.3962765141,2289.1247316334793,0.5551486236071435,0.0,0.0,0.8435057109805959,0.16449490189552307,0.949999988079071,4866.153419017792,4.866153419017792,6501.1142378390805,6501.1142378390805,13002.228475678161,28533.339765284276,11765.259216447404,-0.07156018290265612,-253.96708912152656
