experiment,seed,episode_id,total_cost,p2p_volume,p2p_utilisation,voltage_violation_rate,thermal_violation_rate,battery_soc_mean,battery_soc_min,battery_soc_max,battery_throughput,battery_cycles,buyer_welfare,seller_welfare,campus_welfare,grid_import,grid_export,mean_reward,episode_return
random,42,0,-48565.24139332778,2276.6969217443466,0.5009357021405023,0.16568047337278108,0.0,0.9417260179858236,0.5,0.949999988079071,224.99999403953552,0.22499999403953552,6465.819257753944,6465.819257753944,12931.638515507888,16846.58100163917,52209.23498783343,0.04538858717460991,161.08409588269058
random,42,1,-51962.19050130839,2229.829364588215,0.4916629937743574,0.15976331360946747,0.0,0.9288341752170811,0.5,0.949999988079071,224.99999403953552,0.22499999403953552,6332.71539543053,6332.71539543053,12665.43079086106,16446.30173884891,52247.06451486713,0.04686111308087218,166.31009032401536
random,42,2,-52499.30438812054,2364.7956120021104,0.5254294350714315,0.16568047337278108,0.0,0.9354215006856523,0.5,0.949999988079071,224.99999403953552,0.22499999403953552,6716.019538085993,6716.019538085993,13432.039076171986,16396.87187651796,52284.77814093873,0.04749681154316473,168.5661841666916
random,42,3,-50181.55060888169,2213.4972614481726,0.4885844141105353,0.16568047337278108,0.0,0.9178351255563589,0.5,0.9203222393989563,210.16111969947815,0.21016111969947815,6286.3322225128095,6286.332222512809,12572.664445025617,16711.647117180954,52354.346801659114,0.045507755315756994,161.50702361562156
random,42,4,264772.7165481648,4306.541858377486,0.517473211122679,0.07100591715976332,0.0,0.8799597804362957,0.5,0.949999988079071,4964.489728212357,4.964489728212357,12230.57887779206,12230.57887779206,24461.15775558412,50010.015500529174,40114.86229807527,-0.11560472017029669,-410.28115188438295
random,42,5,450660.77868652134,5636.331177168191,0.5224341160270369,0.029585798816568046,0.0,0.7935428905945557,0.22170694172382355,0.949999988079071,9566.915795207024,9.566915795207024,16007.180543157661,16007.180543157661,32014.361086315323,69757.87729736118,33108.40485589107,-0.2103208628800071,-746.4287423611452
random,42,6,442668.48513633374,5813.307204496159,0.5393427278548536,0.029585798816568046,0.0,0.6857712466776724,0.10000000149011612,0.949999988079071,10027.71307528019,10.02771307528019,16509.79246076909,16509.79246076909,33019.58492153818,68769.20074994587,33090.02836396774,-0.20582684969757586,-730.4794895766968
random,42,7,438335.75248748803,5786.129035796459,0.5366000885678767,0.03550295857988166,0.0,0.7486102199237022,0.10000000149011612,0.949999988079071,9331.058099865913,9.331058099865913,16432.606461661944,16432.606461661944,32865.21292332389,68307.36807604799,33249.802621433446,-0.203384900383678,-721.8130114616732
random,42,8,427124.0432324457,5323.406690935702,0.5110169725807447,0.029585798816568046,0.0,0.7294900090648577,0.10000000149011612,0.949999988079071,9477.238968014717,9.477238968014717,15118.475002257392,15118.475002257392,30236.950004514783,66532.10577798635,32335.005297231208,-0.1982571915979848,-703.614772981248
random,42,9,419299.8473913828,4933.208723613122,0.5110910542880379,0.011834319526627219,0.0,0.7521880161039223,0.10000000149011612,0.949999988079071,8197.823867201805,8.197823867201805,14010.312775061266,14010.312775061266,28020.62555012253,63890.65146589071,28485.66349877148,-0.19319804894362252,-685.6598757009164
random,42,10,415600.7562087892,5202.158126378372,0.5431979254763878,0.0,0.0,0.7065617666530186,0.10000000149011612,0.949999988079071,10573.972694575787,10.573972694575787,14774.129078914575,14774.129078914575,29548.25815782915,63412.83060560728,28430.846412053434,-0.19113134916764513,-678.3251581959726
random,42,11,417814.04690870165,5324.964364062498,0.546440027113471,0.011834319526627219,0.0,0.7918793327180591,0.2491106241941452,0.949999988079071,9101.062402129173,9.101062402129173,15122.898793937495,15122.898793937495,30245.79758787499,63665.24200937801,28386.987490935135,-0.19246961119662268,-683.0746501368138
random,42,12,415853.013913965,5069.253299132679,0.5252122936242156,0.011834319526627219,0.0,0.7538472720857202,0.10000000149011612,0.949999988079071,8921.123273670673,8.921123273670673,14396.679369536807,14396.679369536807,28793.358739073614,63668.69910693199,28945.75387851986,-0.1906022444850884,-676.4473656775787
random,42,13,422882.5314193665,3884.2514110651364,0.5432273352795688,0.0,0.0,0.6923961773426575,0.11113236099481583,0.949999988079071,7978.660553693771,7.978660553693771,11031.274007424987,11031.274007424987,22062.548014849974,58036.38611905409,14076.970632282122,-0.18151548945173504,-644.1984720642076
random,42,14,420327.7933771135,3724.387279771146,0.5487462935851014,0.0,0.0,0.7470056383302931,0.10278207808732986,0.949999988079071,7635.274730622768,7.635274730622768,10577.259874550055,10577.259874550056,21154.51974910011,56870.13679702962,12124.668965920739,-0.18270940163377472,-648.4356663982664
random,42,15,420296.66362596216,3727.211511803421,0.5534641579160801,0.0,0.0,0.7670836134775151,0.1511484831571579,0.949999988079071,7978.052228689194,7.978052228689194,10585.280693521716,10585.280693521716,21170.56138704343,56695.93057901885,11734.598481191431,-0.18265507093990566,-648.2428467657252
random,42,16,416458.1650610751,3618.8831044069793,0.5427255948733243,0.0,0.0,0.7392216646195163,0.10000000149011612,0.949999988079071,8142.064996063709,8.14206499606371,10277.62801651582,10277.62801651582,20555.25603303164,56500.08255695908,12364.46847700601,-0.17591554107566898,-624.3242552775492
random,42,17,267794.33856358705,2930.737007976582,0.5663730167546901,0.0,0.0,0.8704285106715366,0.5,0.949999988079071,5510.913223028183,5.510913223028183,8323.293102653492,8323.293102653492,16646.586205306983,38214.58704138824,12262.512871833458,-0.10614835849974784,-376.7205243156051
random,42,18,189520.21237387432,2242.9148673909694,0.5392521874020177,0.0,0.0,0.8796875228190563,0.44408246874809265,0.949999988079071,4193.739235401154,4.193739235401154,6369.878223390353,6369.878223390354,12739.756446780706,28407.57829649145,11798.188410823317,-0.0714769644699538,-253.67174690386602
random,42,19,190614.81994379393,2220.8825874098316,0.5385988341115204,0.0,0.0,0.8525993518928099,0.30040067434310913,0.949999988079071,4119.836330413818,4.119836330413818,6307.3065482439215,6307.3065482439215,12614.613096487843,28567.898055781647,11857.73854236699,-0.07154160616334297,-253.9011602737042
