experiment,seed,episode_id,total_cost,p2p_volume,p2p_utilisation,voltage_violation_rate,thermal_violation_rate,battery_soc_mean,battery_soc_min,battery_soc_max,battery_throughput,battery_cycles,buyer_welfare,seller_welfare,campus_welfare,grid_import,grid_export,mean_reward,episode_return
random,789,0,-48424.29062202365,2124.904692702051,0.46753725278672725,0.16568047337278108,0.0,0.9282585967927289,0.5,0.949999988079071,224.99999403953552,0.22499999403953552,6034.729327273824,6034.729327273824,12069.458654547649,16877.289230681465,52239.94321687572,0.044220268285742596,156.93773214610047
random,789,1,-51342.29176895989,2268.01492132797,0.5000826627605875,0.16568047337278108,0.0,0.9415390382151632,0.5,0.949999988079071,224.99999403953552,0.22499999403953552,6441.162376571435,6441.162376571435,12882.32475314287,16581.35592890305,52382.11870492128,0.046491727189810254,164.9991397966366
random,789,2,-51442.426598529826,2139.386526357319,0.4753462194526243,0.16568047337278108,0.0,0.9383130909423151,0.5,0.9414914846420288,220.7457423210144,0.2207457423210144,6075.857734854785,6075.857734854785,12151.71546970957,16630.606567865958,52522.997226583524,0.04549523963969582,161.46260548128046
random,789,3,-50507.33752758152,2212.1584851607295,0.4882889065264882,0.16568047337278108,0.0,0.9328762550325789,0.5,0.949999988079071,224.99999403953552,0.22499999403953552,6282.530097856471,6282.530097856471,12565.060195712942,16628.5380029483,52255.59613809274,0.04570229041042922,162.1974286666133
random,789,4,266423.8176036574,4419.494911988926,0.5310456275255804,0.07100591715976332,0.0,0.8515431059182749,0.32758191227912903,0.949999988079071,5876.035064458847,5.876035064458847,12551.36555004855,12551.36555004855,25102.7311000971,50332.4706647392,40389.27480729416,-0.11660460108427799,-413.8297292481026
random,789,5,451912.95214840374,5643.811804936738,0.5231274988380789,0.029585798816568046,0.0,0.7278504821323079,0.11512081325054169,0.949999988079071,9932.527706027031,9.932527706027031,16028.425526020334,16028.425526020334,32056.851052040667,69983.6849735403,33273.61808594092,-0.21119588086452842,-749.5341811882114
random,789,6,443150.4348602181,5686.166937037338,0.5275470019007187,0.03550295857988166,0.0,0.7129997510088266,0.10000000149011612,0.949999988079071,8825.25535672903,8.82525535672903,16148.71410118604,16148.71410118604,32297.42820237208,68923.3543465804,33307.557040565196,-0.20543803824892368,-729.0995977454302
random,789,7,437881.2376024304,5658.493136887593,0.524763257028998,0.029585798816568046,0.0,0.7556842267513275,0.14134445786476135,0.949999988079071,8805.07293343544,8.80507293343544,16070.120508760763,16070.120508760763,32140.241017521526,68229.8462721846,33200.00267299834,-0.2029143412797989,-720.1429972020063
random,789,8,429596.98170403595,5320.707805369073,0.5107578948112501,0.029585798816568046,0.0,0.7935329206155602,0.10000000149011612,0.949999988079071,9226.409174501896,9.226409174501896,15110.810167248166,15110.810167248166,30221.620334496332,66885.40697775016,32449.18122601904,-0.19938670682186369,-707.6234225107942
random,789,9,421954.6330497005,5055.622915435111,0.5237734283499031,0.005917159763313609,0.0,0.7886678993084727,0.10000000149011612,0.949999988079071,8723.30316901207,8.72330316901207,14357.969079835715,14357.969079835713,28715.93815967143,64415.326352359654,28941.088966862553,-0.1949302387915465,-691.8074174711985
random,789,10,417813.0967775434,5058.916864829933,0.5282409875622569,0.011834319526627219,0.0,0.7543508785628003,0.10000000149011612,0.949999988079071,9803.293414413929,9.803293414413929,14367.323896117008,14367.323896117003,28734.647792234013,63746.997334165804,28574.418959524664,-0.19272844654577884,-683.9932567909691
random,789,11,418208.09508979187,5284.985359500917,0.5423374403461234,0.011834319526627219,0.0,0.70346558883169,0.10000000149011612,0.949999988079071,9532.740615308285,9.532740615308285,15009.358420982604,15009.358420982604,30018.716841965208,63640.61083306346,28219.91101114475,-0.1922313611376089,-682.229100677374
random,789,12,414534.0715055782,5244.043889115706,0.5433218970020193,0.011834319526627219,0.0,0.6940167140237679,0.10000000149011612,0.949999988079071,9907.748878002167,9.907748878002167,14893.084645088606,14893.084645088606,29786.16929017721,63397.96203053716,28696.43793351113,-0.19056178976681848,-676.3037918824388
random,789,13,423502.4945346932,3999.510287514772,0.5593467275883902,0.0,0.0,0.7288505684077387,0.11688742786645889,0.949999988079071,8610.53367704153,8.61053367704153,11358.60921654195,11358.60921654195,22717.2184330839,58123.223929294254,14101.62373288062,-0.1834770921120685,-651.1601999057311
random,789,14,421858.234810952,3449.760871378111,0.5082832019660348,0.0,0.0,0.7692877685089083,0.10000000149011612,0.949999988079071,7095.33765912056,7.09533765912056,9797.320874713834,9797.320874713834,19594.64174942767,57163.57776415048,12366.551676088318,-0.18357534661701674,-651.5089051437924
random,789,15,422569.287023501,3580.127653849144,0.5316232606855593,0.0,0.0,0.7609168616889497,0.10000000149011612,0.949999988079071,8838.246949017048,8.838246949017048,10167.562536931568,10167.562536931568,20335.125073863135,57197.321633985106,12244.068621763385,-0.18247805300119874,-647.6146101012544
random,789,16,414909.3903781062,3392.5638083384824,0.5087843839951645,0.0,0.0,0.7851598119947332,0.258567750453949,0.949999988079071,8215.73457121849,8.21573457121849,9634.88121568129,9634.881215681291,19269.76243136258,56201.07632305497,12114.994846851647,-0.17613777705490596,-625.1129707678613
random,789,17,269515.5301895995,2780.7232252631043,0.5373824391494773,0.0,0.0,0.8539662951901115,0.33490732312202454,0.949999988079071,5373.4506368637085,5.3734506368637085,7897.253959747216,7897.253959747216,15794.507919494432,38562.477819812724,12575.467427492766,-0.1078687512095985,-382.8261980428651
random,789,18,190080.96059607464,2209.065943437292,0.531114069210997,0.0,0.0,0.8681892611571318,0.5,0.949999988079071,4780.925959348679,4.780925959348679,6273.747279361909,6273.74727936191,12547.494558723818,28527.457727786088,11915.117945332007,-0.07172065937642434,-254.53662012693
random,789,19,189995.39305281162,2395.354995459511,0.5809111274731353,0.0,0.0,0.89423229602667,0.5,0.949999988079071,4250.857800245285,4.250857800245285,6802.808187105011,6802.808187105011,13605.616374210022,28413.175013954773,11677.523401943756,-0.07054480384145409,-250.36350883332057
